processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
9,2000,29.464745,28.644390,7.967770,101904,244
16,2000,19.983013,19.336300,4.593954,100784,657
25,2000,29.213339,17.677000,5.934589,99644,507415
1,500,1.268562,1.249498,0.018929,69592,12
4,500,0.689893,0.641706,0.167797,68312,136
9,500,0.624134,0.572611,0.217311,68780,185
16,500,1.073780,1.010887,0.385158,69268,543
25,500,1.454649,0.878899,0.336736,69464,50428
1,1000,11.682665,11.615030,0.060779,84212,33
4,1000,3.423191,3.296505,0.597008,76156,163
9,1000,3.237992,2.768724,0.945326,75080,292
16,1000,2.455818,2.181020,0.771040,75544,784
25,1000,6.352117,3.864393,1.458778,75328,134161
1,2000,103.816478,103.435547,0.338778,143004,271
4,2000,26.532452,26.183681,2.341255,108276,190
9,2000,22.961951,20.526338,5.882586,102176,245
16,2000,20.412637,19.615088,5.069538,100384,591
25,2000,27.533333,16.978669,5.456702,99580,523847
1,500,1.271305,1.259272,0.011909,69604,11
4,500,0.689363,0.643263,0.182490,68160,49
9,500,0.678948,0.604582,0.209525,68892,340
16,500,0.620167,0.536175,0.217425,69432,420
25,500,1.372507,0.765383,0.354149,69420,50308
1,1000,11.573302,11.504987,0.058745,84544,37
4,1000,3.334190,3.223410,0.584106,76088,149
9,1000,3.559066,3.467264,1.132471,74848,190
16,1000,4.163385,3.975256,1.247040,75504,526
25,1000,6.169644,3.232137,1.464564,75568,135920
1,2000,103.366411,102.934077,0.374015,142956,369
4,2000,26.666423,26.250563,2.362801,108448,120
9,2000,21.427050,19.483745,5.303151,102424,352
16,2000,19.674168,19.228957,4.989871,100236,527
25,2000,26.826085,16.262476,5.306745,99712,450783
1,500,1.271523,1.257496,0.013881,69680,12
4,500,0.686212,0.645003,0.173462,67912,254
9,500,0.866924,0.804191,0.302727,68840,189
16,500,1.091969,1.017617,0.383417,69416,410
25,500,1.380365,0.780454,0.396843,69104,45837
1,1000,11.821607,11.762917,0.047380,84388,40
4,1000,3.394023,3.279222,0.609766,76212,136
9,1000,4.447593,4.361230,1.434319,74800,246
16,1000,4.117990,3.952643,1.257713,75484,826
25,1000,5.921330,3.463934,1.356416,75740,120513
1,2000,103.406672,102.938382,0.416890,143008,181
4,2000,27.200864,26.758409,2.399485,108380,104
9,2000,21.698060,19.681802,5.033866,102256,326
16,2000,19.347612,18.660887,4.676245,99884,580
25,2000,27.322115,17.067829,5.453927,99628,473864
1,500,1.266375,1.248549,0.017670,69608,12
4,500,0.738915,0.687561,0.178870,67880,96
9,500,1.133865,1.076144,0.402289,67880,221
16,500,1.109757,1.030180,0.342630,69816,636
25,500,1.750775,1.104501,0.468146,69900,39305
1,1000,11.883333,11.826802,0.049776,84384,41
4,1000,3.505871,3.324101,0.642026,75828,110
9,1000,3.028820,2.664562,0.884482,75376,205
16,1000,3.793439,3.612222,1.161007,74796,560
25,1000,7.207214,4.035805,1.721136,75676,148467
1,2000,104.741799,104.320153,0.372141,142892,347
4,2000,27.216128,26.723418,2.547568,108108,163
9,2000,21.674717,19.697299,5.379565,102700,359
16,2000,19.897694,19.278160,5.020194,100428,713
25,2000,29.630057,16.389572,6.063073,99864,510970
1,500,1.273910,1.255824,0.017920,69576,9
4,500,0.693184,0.653193,0.166244,68020,89
9,500,0.623447,0.560344,0.197493,68592,200
16,500,1.121272,1.039793,0.414992,69352,402
25,500,1.981331,1.142235,0.554642,69424,46752
1,1000,11.787469,11.710143,0.065709,84292,40
4,1000,3.428871,3.296919,0.633571,75820,130
9,1000,3.839925,3.730630,1.199777,74960,186
16,1000,4.140515,3.954971,1.188805,74636,549
25,1000,5.490954,3.251819,1.274445,75692,122735
1,2000,104.216813,103.809470,0.358797,142944,165
4,2000,31.402622,29.060269,4.068113,108156,127
9,2000,24.923511,21.780277,6.116719,102020,300
16,2000,20.404945,19.677718,4.935890,100380,556
25,2000,27.055614,16.582682,5.529659,99600,467100
1,500,1.264856,1.253687,0.011033,69476,6
4,500,0.704250,0.667150,0.184908,67972,142
9,500,0.738235,0.627569,0.215662,68144,212
16,500,1.098945,1.021365,0.397522,69464,395
25,500,1.024985,0.619715,0.240277,69016,40595
1,1000,11.689437,11.616740,0.062765,84768,36
4,1000,3.346897,3.250203,0.629174,75940,304
9,1000,2.422241,2.266600,0.659980,75128,224
16,1000,4.019079,3.853432,1.194180,74748,487
25,1000,6.392867,3.937782,1.512785,75688,157542
1,2000,104.928046,104.521888,0.358166,143028,146
4,2000,27.610675,26.768893,2.643156,108100,107
9,2000,28.171512,27.848578,7.827059,102164,264
16,2000,20.189621,19.730030,4.276222,101060,579
25,2000,29.120938,17.527034,5.939287,100072,458499
1,500,1.417593,1.395362,0.022066,69728,11
4,500,0.700969,0.658193,0.161851,68076,59
9,500,1.158573,1.100953,0.380786,67884,236
16,500,1.070465,1.022024,0.368315,68944,445
