MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
1000,25,1,2,4645548
1000,25,1,8,4643606
1000,25,1,11,4643608
1000,25,1,10,4643608
1000,25,1,0,12753803
1000,25,1,5,4677108
1000,25,1,4,4645548
1000,25,1,6,4677108
1000,25,1,3,4645716
1000,25,1,1,4645548
1000,36,1,5,4464027
1000,36,1,11,4462087
1000,36,1,6,4462085
1000,36,1,10,4462087
1000,36,1,17,4528715
1000,36,1,0,12921522
1000,36,1,12,4462087
1000,36,1,7,4462085
1000,36,1,8,4461917
1000,36,1,14,4462087
1000,36,1,16,4528547
1000,36,1,13,4462087
1000,36,1,4,4463859
1000,36,1,15,4462087
1000,36,1,3,4497509
1000,36,1,1,4464007
1000,36,1,9,4462085
1000,36,1,2,4497341
1000,49,1,17,4359864
1000,49,1,22,4359864
1000,49,1,12,4393346
1000,49,1,2,4361784
1000,49,1,8,4359842
1000,49,1,9,4393324
1000,49,1,19,4359864
1000,49,1,3,4361952
1000,49,1,16,4359844
1000,49,1,21,4426808
1000,49,1,24,4426492
1000,49,1,6,4361952
1000,49,1,0,12968139
1000,49,1,13,4393326
1000,49,1,14,4393326
1000,49,1,10,4393326
1000,49,1,23,4359864
1000,49,1,15,4393326
1000,49,1,18,4359864
1000,49,1,5,4361952
1000,49,1,1,4361784
1000,49,1,4,4361784
1000,49,1,11,4393326
1000,49,1,20,4359864
1000,49,1,7,4360010
1000,64,1,29,4466267
1000,64,1,24,4432785
1000,64,1,28,4466379
1000,64,1,25,4432953
1000,64,1,3,4399593
1000,64,1,22,4333863
1000,64,1,5,4366727
1000,64,1,8,4333245
1000,64,1,13,4333415
1000,64,1,21,4333863
1000,64,1,6,4366727
1000,64,1,19,4333863
1000,64,1,1,4432311
1000,64,1,30,4499581
1000,64,1,31,4598447
1000,64,1,9,4333413
1000,64,1,17,4333751
1000,64,1,7,4366727
1000,64,1,15,4333415
1000,64,1,2,4399425
1000,64,1,23,4333863
1000,64,1,0,15633399
1000,64,1,26,4433065
1000,64,1,20,4333883
1000,64,1,16,4333695
1000,64,1,14,4333415
1000,64,1,18,4333863
1000,64,1,10,4333415
1000,64,1,27,4432953
1000,64,1,11,4333415
1000,64,1,12,4333435
1000,64,1,4,4366579
2000,1,1,0,83123728
2000,4,1,1,19976378
2000,4,1,0,48013530
2000,9,1,1,11104198
2000,9,1,4,11135570
2000,9,1,0,41358214
2000,9,1,3,11104366
2000,9,1,2,11105365
2000,16,1,5,7991625
2000,16,1,0,38994815
2000,16,1,7,7991625
2000,16,1,2,7993399
2000,16,1,1,7993399
2000,16,1,6,7991625
2000,16,1,4,7991457
2000,16,1,3,7993567
2000,25,1,4,6565548
2000,25,1,5,6597088
2000,25,1,10,6563496
2000,25,1,0,37926964
2000,25,1,8,6563606
2000,25,1,3,6565716
2000,25,1,1,6565548
2000,25,1,7,6597088
2000,25,1,12,6596942
2000,25,1,9,6563626
2000,25,1,11,6563628
2000,25,1,6,6597088
2000,25,1,2,6565548
2000,36,1,8,5800589
2000,36,1,6,5800757
2000,36,1,1,5802679
2000,36,1,14,5800759
2000,36,1,16,5867219
2000,36,1,4,5802531
2000,36,1,17,5867387
2000,36,1,9,5800625
2000,36,1,0,37887438
2000,36,1,3,5836181
2000,36,1,11,5800759
2000,36,1,7,5800757
2000,36,1,12,5800759
2000,36,1,13,5800759
2000,36,1,2,5836013
2000,36,1,15,5800759
2000,36,1,5,5802567
2000,36,1,10,5800759
2000,49,1,4,5343336
2000,49,1,10,5374878
2000,49,1,9,5374876
2000,49,1,15,5374878
2000,49,1,18,5341416
2000,49,1,0,37850566
2000,49,1,8,5341394
2000,49,1,3,5343504
