MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
1000,16,8,0,13082829
1000,16,8,5,5169572
1000,16,8,4,5169384
1000,16,8,3,5171376
1000,25,8,8,4866594
1000,25,8,7,4899022
1000,25,8,12,4898876
1000,25,8,5,4899022
1000,25,8,9,4866594
1000,25,8,6,4899022
1000,25,8,11,4866596
1000,25,8,2,4868418
1000,25,8,4,4868418
1000,25,8,0,13000423
1000,25,8,10,4866484
1000,25,8,3,4868586
1000,25,8,1,4868418
2000,1,8,0,83999275
2000,4,8,0,48136134
2000,4,8,1,20100283
2000,9,8,3,11255174
2000,9,8,4,11285442
2000,9,8,0,41508893
2000,9,8,2,11255064
2000,9,8,1,11255006
2000,16,8,5,8169572
2000,16,8,6,8169572
2000,16,8,1,8171228
2000,16,8,0,39172515
2000,16,8,7,8169572
2000,16,8,2,8171228
2000,16,8,3,8171396
2000,16,8,4,8169404
2000,25,8,11,6786596
2000,25,8,9,6786594
2000,25,8,5,6819022
2000,25,8,4,6788418
2000,25,8,3,6788586
2000,25,8,0,38149705
2000,25,8,6,6819042
2000,25,8,1,6788418
2000,25,8,2,6788418
2000,25,8,10,6786616
2000,25,8,12,6818856
2000,25,8,7,6819022
2000,25,8,8,6786594
500,1,9,0,8999271
500,4,9,0,6886130
500,4,9,1,5100279
500,9,9,0,6573773
500,9,9,4,4613438
500,9,9,2,4645678
500,9,9,3,4646182
500,9,9,1,4583002
500,16,9,4,4517080
500,16,9,1,4421224
500,16,9,0,6552753
500,16,9,6,4517248
500,16,9,2,4421224
500,16,9,3,4421392
500,16,9,7,4517248
500,16,9,5,4517248
500,25,9,3,4388582
500,25,9,9,4484290
500,25,9,2,4388414
500,25,9,7,4419038
500,25,9,11,4484292
500,25,9,0,6640587
500,25,9,8,4534042
500,25,9,6,4419038
500,25,9,12,4516552
500,25,9,10,4484292
500,25,9,5,4419018
500,25,9,4,4437126
500,25,9,1,4437078
1000,1,9,0,23999275
1000,4,9,1,8100283
1000,4,9,0,15136134
1000,9,9,3,5984858
