processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
25,1000,1.936453,1.740941,1.051585,77904,88
36,1000,2.069439,1.752108,1.204145,78156,267
49,1000,2.148622,1.703524,1.270459,79684,374
64,1000,2.586252,2.364994,1.464385,83592,535
1,2000,54.798140,54.362314,0.393592,137736,132
4,2000,16.601633,16.353153,3.537556,111680,60
9,2000,10.705758,10.388067,3.659996,105360,80
16,2000,8.617350,8.321212,3.679632,103748,138
25,2000,8.657453,8.289585,4.331067,101436,197
36,2000,8.264407,7.167085,4.455552,101920,188
49,2000,7.843485,6.799031,4.361699,102004,238
64,2000,10.113590,9.443565,5.397181,103304,563
1,500,1.088655,1.066736,0.021872,64912,5
4,500,0.642812,0.590204,0.243622,72432,38
9,500,0.569192,0.511646,0.275480,71784,39
16,500,0.550784,0.483490,0.303109,71532,44
25,500,0.621933,0.518244,0.345408,71524,116
36,500,0.795413,0.670484,0.453239,71880,254
49,500,0.797843,0.612119,0.470926,73100,228
64,500,0.934356,0.713648,0.528341,75316,524
1,1000,6.948717,6.881869,0.056694,79012,16
4,1000,2.888506,2.793338,0.920759,79484,43
9,1000,2.173501,2.072144,0.957766,77568,56
16,1000,1.956051,1.841693,0.996332,77172,114
25,1000,1.997232,1.773111,1.115858,77452,141
36,1000,2.715246,2.474427,1.621328,78020,279
49,1000,2.160287,1.742629,1.247819,79440,326
64,1000,2.598583,2.345193,1.456340,82768,610
1,2000,55.019623,54.632323,0.344726,137736,98
4,2000,16.606231,16.329034,3.508421,112136,68
9,2000,10.650397,10.421147,3.646374,105620,96
16,2000,8.562145,8.280403,3.642652,102584,109
25,2000,7.806648,7.439627,3.780365,101752,164
36,2000,8.099630,7.021032,4.316078,100336,152
49,2000,9.300652,8.299822,5.306306,102936,243
64,2000,10.017529,9.401672,5.279542,103392,697
1,500,1.095041,1.072054,0.022921,64912,6
4,500,0.643467,0.584610,0.256731,71500,18
9,500,0.567308,0.503987,0.276450,71508,73
16,500,0.567214,0.497569,0.296123,72248,72
25,500,0.594713,0.485648,0.343178,72140,112
36,500,0.688899,0.573420,0.417938,73552,129
49,500,0.897918,0.716827,0.533194,73592,294
64,500,0.933768,0.703490,0.529439,74984,707
1,1000,7.020245,6.942601,0.067622,79016,18
4,1000,2.896541,2.794552,0.938190,79800,37
9,1000,2.129132,2.025492,0.939494,78212,45
16,1000,1.953133,1.814798,0.975141,77996,119
25,1000,2.009440,1.789009,1.122157,76616,197
36,1000,2.064874,1.726088,1.208550,78220,168
49,1000,2.820181,2.471625,1.671863,78568,251
64,1000,2.571198,2.319688,1.442204,83248,552
1,2000,54.588204,54.172006,0.374510,137712,90
4,2000,16.806528,16.522479,3.588394,112260,67
9,2000,10.622329,10.353283,3.708559,105992,80
16,2000,8.658251,8.326129,3.666011,102984,72
25,2000,7.778754,7.444285,3.769217,101196,209
36,2000,8.269331,7.157120,4.384437,101936,244
49,2000,7.892793,6.817610,4.349343,102504,362
64,2000,10.117168,9.450515,5.375359,103788,746
1,500,1.092031,1.064063,0.027914,64592,9
4,500,0.644046,0.595420,0.266037,72152,19
9,500,0.569376,0.502742,0.288200,71348,155
16,500,0.601563,0.527498,0.326188,72012,111
25,500,0.685287,0.572141,0.390934,71484,76
36,500,0.630264,0.485846,0.361650,73676,188
49,500,0.895368,0.719565,0.526062,73876,335
64,500,0.903156,0.698559,0.513641,74792,616
1,1000,6.973020,6.900347,0.063598,79000,15
4,1000,2.884767,2.803668,0.908601,80040,29
9,1000,2.190872,2.083735,0.955276,78580,49
16,1000,1.939724,1.810062,0.987776,79344,87
25,1000,1.961728,1.747196,1.088700,77092,134
36,1000,2.071512,1.709196,1.219698,78364,241
49,1000,2.147033,1.726013,1.255900,78876,301
64,1000,2.576337,2.354593,1.466811,84048,600
